no,functions,road,location,area,direction,speed_limit,,,,
62,測速,環東大道,(南京東路6段368巷口上方),內湖,東向西,80,,,,
63,測速,潭美街,新明路498巷,內湖,西向東,40,,,,
64,測速,行善路233號,,內湖,西向東,50,,,,
65,測速,成功路2段,373號,內湖,北向南,50,,,,
66,測速,內湖路1段,324號,內湖,西向東,50,,,,
67,測速,民權東路6段,210巷(民權隧道前),內湖,東西雙向,50,,,,
68,測速,成功路5段,152巷口,內湖,西向東,50,,,,
69,闖紅燈,瑞光路,199號前(陽光街口),內湖,南向北,50,,,,
70,闖紅燈,成功路2段,250巷口,內湖,往內湖方向,50,,,,
71,闖紅燈,環山路1段,136巷口,內湖,東向西,50,,,,
72,闖紅燈,內湖路1段,120巷（西向東）,內湖,西向東,50,,,,
73,闖紅燈,南京東路6段,新明路426巷口,內湖,西向東,40,,,,
74,闖紅燈,民權東路6段,136巷（東向西）,內湖,西向東,50,,,,
75,測速,民權東路6段,423巷口,內湖,東向西,50,,,,
76,測速,信義快速道路,文山隧道往南出口處,文山一,北向南,70,,,,
77,測速,木柵路5段,木柵路5段近100之1號,文山一,西向東,50,,,,
78,測速,辛亥路6段,懷恩隧道出口處（往木柵）,文山一,北向南,50,,,,
79,闖紅燈,辛亥路7段,光輝路50巷口,文山一,北向南,50,,,,
80,闖紅燈,木柵路1段,和興街,文山一,西向東,50,,,,
81,闖紅燈,木柵路5段,萬福橋頭,文山一,東向西,50,,,,
82,測速,水源快速道路,下(離開水快)景福匝道口(上層)(水南),文山二,北向南,60,,,,
83,測速,羅斯福路6段,226號前,文山二,北向南,50,,,,
84,測速,辛亥路4段,辛亥隧道出口,文山二,北向南,50,,,,
85,測速,羅斯福路5段,240號前(近興隆路口),文山二,北向南,50,,,,
86,闖紅燈,羅斯福路6段,469巷前(近育英街口),文山二,南向北,50,,,,
87,測速,陽金公路53號燈桿後方,竹子湖路2-2號對面,北投,往臺北市區,40,,,,
88,測速,承德路6段,,北投,北向南,60,,,,
89,測速,洲美快速道路(南向避車彎處),,北投,北向南,80,,,,
90,測速,承德路6段,,北投,南往北,60,,,,
91,測速,洲美快速道路(北向避車彎處),,北投,南向北,80,,,,
92,測速,大業路,412號前,北投,南向北,60,,,,
93,測速,大度路,往台北方向,北投,北向南,70,,,,
94,測速,大度路,往淡水方向,北投,南向北,70,,,,
95,測速,學園路(往關渡),臺北藝術大學大門口,北投,下山方向,30,,,,
96,測速,立賢路101號前,,北投,南往北,50,,,,
97,闖紅燈,承德路7段,吉利街口,北投,北向南,60,,,,
98,闖紅燈,文林北路,明德路口,北投,北向南,50,,,,
99,闖紅燈,大度路,大業路口,北投,北向南,50,,,,
100,測速,延壽街,塔悠路口,松山,南向北,50,,,,
101,測速,復興北路,車行地下道南出口處,松山,北向南,40,,,,
102,測速,健康路,300號,松山,東西雙向,50,,,,
103,測速,塔悠路,近撫遠街261巷口,松山,北向南,50,,,,
104,測速,民權東路4段,民權公園前,松山,東西雙向,50,,,,
105,闖紅燈,敦化南路,八德路口,松山,南往北,50,,,,
106,闖紅燈,民權東路4段,三民街,松山,東向西,50,,,,
107,測速,市民高架道,下光復南路,信義,東西雙向,80,,,,
108,測速,市民大道5段,50號前(近東寧路口),信義,西向東,50,,,,
109,測速,忠孝東路5段210號前,,信義,西向東,50,,,,
110,測速,忠孝東路4段 ,近逸仙路口,信義,東西雙向,50,,,,
111,闖紅燈,永吉路,松信路口,信義,東向西,50,,,,
112,闖紅燈,松仁路,松壽路口,信義,北向南,50,,,,
113,闖紅燈,基隆路,與松壽路口,信義,北向南,50,,,,
114,闖紅燈,光復南路,456巷,信義,北向南,50,,,,
115,測速,市民大道8段,東南街口,南港,東向西,50,,,,
116,測速,忠孝東路7段,511號前,南港,西向東,50,,,,
117,測速,市民大道7段,近昆陽街口,南港,東往西,50,,,,
118,測速,三重路,19-5號前,南港,北向南,50,,,,
119,測速,市民大道7段,東新街  往東約100公尺處(忠孝東路6段159巷口)　,南港,西向東,50,,,,
120,測速,市民大道8段,500號,南港,西往東,50,,,,
121,闖紅燈,忠孝東路6段,159巷,南港,東向西,50,,,,
122,闖紅燈,忠孝東路7段,527巷口,南港,東向西,50,,,,
123,測速,水源路,205號前,萬華,東向西,60,,,,
124,測速,艋舺大道,297號台糖公司前,萬華,東向西,50,,,,
125,測速,萬板大橋,台北端引道,萬華,往台北市,50,,,,
126,測速,環河南路快速道路,中興橋匝道(環河南路2段250巷口),萬華,北向南,60,,,,
127,測速,和平西路3段,199號前,萬華,西向東,50,,,,
128,測速,環河南路1段,77號對面,萬華,北向南,50,,,,
129,測速,華中橋頭(往北、往南),萬大路,萬華,南北雙向,50,,,,
130,測速,中華路1段53號,往南(萬華406號廣場前）,萬華,北向南,50,,,,
131,闖紅燈,艋舺大道,120巷口,萬華,東向西,50,,,,
132,闖紅燈,西園路2段,光復橋頭,萬華,南向北,50,,,,
133,闖紅燈,艋舺大道,雙園街,萬華,西向東,50,,,,
134,測速,承德路4段,福港街,士林,北往南,50,,,,
135,闖紅燈,西園路2段,140巷,萬華,南向北,50,,,,
136,闖紅燈及路口淨空,南京東路3段,復興北路口,松山,南向北,\,,,,
137,闖紅燈及路口淨空,中山北路4段,通河街口,士林,南向北,\,,,,
138,闖紅燈及路口淨空,民生西路,承德路2段口,大同,南向北,\,,,,
139,闖紅燈及路口淨空,光復南路,信義路4段口北側,大安,西向東,\,,,,
